,date,fulltext_sents,lemm_sents
0,2016-10-19,0.9433,0.96285
1,2016-10-25,0.7783,0.7506
2,2016-10-28,0.9937,0.9858
3,2016-10-31,0.9647,0.9094
4,2016-11-03,0.9942,0.9854
5,2016-11-14,0.9639,0.9707
6,2016-11-15,0.9915,0.9831
7,2016-11-21,0.906,0.9358
8,2016-11-22,0.9912,0.9798
9,2016-11-27,0.9973,0.9983
10,2016-11-30,0.9842,0.9847
11,2016-12-23,0.11735000000000001,0.06209999999999999
12,2016-12-30,0.6686,0.312
13,2017-01-06,0.9698,0.9769
14,2017-01-09,0.9173,0.9671
15,2017-01-11,-0.9809,-0.9708
16,2017-01-24,0.9457,0.9024
17,2017-01-27,0.9609,0.9349
18,2017-01-31,0.99095,0.984
19,2017-02-01,0.9982,0.9966
20,2017-02-02,0.9914,0.9868
21,2017-02-10,0.988,0.9821
22,2017-02-14,0.99,0.9923
23,2017-02-15,0.9916,0.9841
24,2017-02-21,0.9908,0.9826
25,2017-02-24,0.9932,0.9925
26,2017-02-27,0.969,0.9872
27,2017-03-15,0.9922,0.9833
28,2017-03-16,0.9913,0.9882
29,2017-03-24,-0.2766,-0.0772
30,2017-03-28,0.9949,0.9899
31,2017-03-29,0.9841,0.9887
32,2017-04-04,0.8221,0.5833
33,2017-04-17,0.9774,0.967
34,2017-04-20,0.9426,0.7932
35,2017-05-09,0.9741,0.9741
36,2017-05-10,0.5403,0.8591
37,2017-05-12,0.9654,0.983
38,2017-05-23,-0.9001,-0.8126
39,2017-06-05,0.9265,0.8029
40,2017-06-07,0.9908,0.9788
41,2017-06-26,0.9329,0.8102
42,2017-06-27,0.5557,-0.1803
43,2017-07-25,0.8462,0.7269
44,2017-08-17,-0.5624,0.9089
45,2017-08-29,0.7406666666666667,0.9472999999999999
46,2017-08-31,0.946,0.9716
47,2017-09-06,0.8062,0.9754
48,2017-09-12,0.9780500000000001,0.94395
49,2017-09-15,0.9936,0.9883
50,2017-09-19,0.9459,0.9819
51,2017-09-22,0.9301,0.9287
52,2017-10-02,0.98275,0.9345
53,2017-10-11,0.9934,0.988
54,2017-10-16,0.9913,0.991
55,2017-10-27,0.96175,0.9413
56,2017-11-20,0.9786,0.9869
57,2017-11-28,0.9941,0.9919
58,2018-02-02,0.6097,0.7717
59,2018-02-14,0.8466,0.926
60,2018-02-16,0.8752,0.9247
61,2018-02-21,0.3647,0.8131
62,2018-02-27,0.5083,0.4802
63,2018-03-01,0.9164,0.9766
64,2018-03-19,0.9712,0.8689
65,2018-03-22,0.9762,0.9643
66,2018-03-26,0.9369,0.9821
67,2018-03-29,0.9903,0.9891
68,2018-04-03,0.9937,0.9955
69,2018-04-10,0.9,0.9628
70,2018-04-12,0.9796,0.9899
71,2018-04-16,0.9926,0.9825
72,2018-05-03,0.9446,0.9538
73,2018-06-28,0.9912,0.9854
74,2018-07-09,0.9905,0.9892
75,2018-09-07,0.9601,0.9509
76,2018-09-12,0.9889,0.9899
77,2018-09-13,0.8924,0.9655
78,2018-09-18,0.9972,0.995
79,2018-09-24,0.9628,0.9862
80,2018-09-25,0.9964,0.9944
81,2018-09-27,0.9489,0.9831
82,2018-10-05,0.915,0.9618
83,2018-10-08,0.9516,0.9186
84,2018-10-22,0.98,0.9851
85,2018-10-28,0.9984,0.997
86,2018-11-11,0.9982,0.9979
87,2018-11-12,0.9923,0.9972
88,2018-11-25,0.9988,0.9975
89,2018-12-06,0.0883,-0.1918
90,2019-01-03,0.9983,0.9984
91,2019-01-07,0.97975,0.98095
92,2019-01-09,0.9942,0.9906
93,2019-01-28,0.60935,0.46415
94,2019-01-30,0.9953,0.996
95,2019-03-08,0.9423,0.9401
96,2019-03-18,0.8976,0.9861
97,2019-03-25,0.7119,0.712
98,2019-04-14,0.9983,0.9964
99,2019-05-15,-0.5908,-0.5908
100,2019-06-03,0.9846,0.9794
101,2019-06-06,0.9044,0.9313
102,2019-06-11,0.5187,0.7184
103,2019-06-12,0.96835,0.98665
104,2019-06-19,-0.8941,-0.8122
105,2019-08-01,0.9732,0.9758
106,2019-08-05,0.7533,0.9688
107,2019-08-27,0.994,0.9923
108,2019-09-02,0.9897,0.9895
109,2019-09-03,0.961,0.8409
110,2019-09-11,0.9885,0.9919
111,2019-09-21,0.999,0.9979
112,2019-09-24,0.7139,0.802
113,2019-10-07,0.9806,0.9826
114,2019-10-11,0.9828,0.9831
115,2019-12-17,0.992,0.9933
116,2020-01-18,0.9947,0.9944
117,2020-05-23,0.9998,0.9997
118,2020-07-30,0.9523,0.9867
119,2020-07-31,0.9265,0.9913
120,2020-08-11,0.9948,0.988
121,2020-08-12,0.9618,0.9618
122,2020-08-13,0.32488333333333336,0.6044833333333334
123,2020-08-14,-0.00841111111111111,0.0040999999999999925
124,2020-08-15,0.4189,0.45999999999999996
125,2020-08-16,0.94455,0.9511000000000001
126,2020-08-17,0.244875,0.2612
127,2020-08-18,0.2637875,0.4000125
128,2020-08-19,0.4835714285714286,0.6121142857142857
129,2020-08-20,0.7449,0.8697333333333334
130,2020-08-21,0.9443,0.9422692307692307
131,2020-08-22,0.7262500000000001,0.8284
132,2020-08-23,0.9706,0.9906
133,2020-08-24,0.45717500000000005,0.41645
134,2020-08-25,0.2502285714285714,0.06605714285714286
135,2020-08-26,0.67904,0.65993
136,2020-08-27,0.5700571428571429,0.6203428571428571
137,2020-08-28,0.9403999999999999,0.9430000000000001
138,2020-08-29,-0.03726,0.20804
139,2020-08-31,0.7732166666666668,0.7788083333333334
140,2020-09-01,0.8851076923076923,0.8736153846153846
141,2020-09-02,0.8092666666666667,0.9042
142,2020-09-03,0.4105333333333333,0.42952857142857137
143,2020-09-04,0.3701461538461538,0.46204615384615383
144,2020-09-05,0.517475,0.8908499999999999
145,2020-09-07,0.9939,0.9876
146,2020-09-08,0.18038125000000002,0.147625
147,2020-09-09,0.7258857142857142,0.7702642857142857
148,2020-09-10,-0.21369999999999997,-0.05434285714285714
149,2020-09-11,0.40836666666666666,0.5032111111111112
150,2020-09-12,0.985,0.9851000000000001
151,2020-09-13,0.3197,0.6378
152,2020-09-14,0.7622416666666667,0.8282916666666665
153,2020-09-15,0.9291285714285714,0.9381142857142857
154,2020-09-16,0.7241454545454545,0.7480727272727272
155,2020-09-17,0.29745,0.33923333333333333
156,2020-09-18,-0.1915181818181818,-0.10423636363636364
157,2020-09-19,0.99385,0.99175
158,2020-09-21,0.5007625,0.38087499999999996
159,2020-09-22,0.89575,0.955225
160,2020-09-23,0.1963285714285714,0.23584285714285716
161,2020-09-24,0.90004,0.83673
162,2020-09-25,0.9592777777777778,0.9584444444444444
163,2020-09-26,0.99135,0.99275
164,2020-09-28,0.7717,0.8271
165,2020-09-29,0.75445,0.7562
166,2020-09-30,0.7970666666666667,0.8994666666666666
167,2020-10-01,0.8933500000000001,0.9143
168,2020-10-02,-0.10255714285714286,-0.016485714285714284
169,2020-10-03,0.9831,0.9874
170,2020-10-05,0.45085,0.4627
171,2020-10-06,0.5084818181818181,0.5975454545454546
172,2020-10-07,0.8542625,0.8944
173,2020-10-08,0.82085,0.823425
174,2020-10-09,0.933075,0.92205
175,2020-10-10,0.9893,0.9906
176,2020-10-11,0.8269,0.8385
177,2020-10-12,0.8069636363636363,0.8772636363636365
178,2020-10-13,0.44853809523809524,0.5305714285714286
179,2020-10-14,0.6701666666666667,0.7223999999999999
180,2020-10-15,0.6329375,0.6423
181,2020-10-16,0.7356833333333334,0.7570166666666668
182,2020-10-17,0.99785,0.99735
183,2020-10-19,0.197975,0.2394
184,2020-10-20,0.6414375,0.6318625
185,2020-10-21,0.593125,0.5952999999999999
186,2020-10-22,0.8733166666666666,0.8826
187,2020-10-23,0.06508,0.10912000000000002
188,2020-10-24,0.973525,0.983225
189,2020-10-26,0.05007000000000002,0.12774000000000002
190,2020-10-27,0.4641166666666667,0.7684166666666666
191,2020-10-28,-0.07947499999999999,0.08643750000000001
192,2020-10-29,0.933135294117647,0.9532235294117646
193,2020-10-30,0.2964772727272727,0.24781818181818183
194,2020-10-31,-0.0029000000000000137,-0.9597
195,2020-11-02,0.7220666666666666,0.7059666666666667
196,2020-11-03,0.36606,0.675
197,2020-11-04,0.9210499999999999,0.9430400000000001
198,2020-11-05,0.538,0.455975
199,2020-11-06,0.348225,0.42095000000000005
200,2020-11-07,0.9805,0.9621
201,2020-11-09,0.5637666666666666,0.4469666666666667
202,2020-11-10,0.70774,0.68274
203,2020-11-11,0.8424222222222223,0.8471333333333333
204,2020-11-12,0.7975000000000001,0.52395
205,2020-11-13,0.914125,0.914075
